,,,,,,,,,Lab,,,Lab,,,,,,,,,,,,,,,,,
,,,,,Flow,Temp,DO,DO,EC25,TDS,chloride,Turbidity,Transparency,TSS,TVS,T-Solids-calc,pH,ANC,ortho-P,TP,TN,NO3/NO2-N,NH4-N,DIN,fecal coliform,BOD,NOTES,,
Stream,Date,Time,condition,Qulitative Flow ,(cfs),(oC),(mg/L),% sat,uS/cm ,mg/L,mg/L, NTU,tube (cm),mg/L,mg/L,(mg/L),lab,mg CaCO3/L,(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(cfu/100ml),mg/L,,METADATA NOTES:,
Chester Creek,3/28/02,10:15,"~1"" snow (0.15"" precip)",S,,0.1,13.00,92.68,2010,1124,554,69.0,16,25.0,7.0,1149.0,7.00,1009,10,100,1413,450,585,1035,10,3,,DO = dissolved oxygen,
Chester Creek,4/11/02,,"1.44"" rain 4/10-4/11",R,,,,,176,,,17.1,,15.3,,,,,,75,,,,,,,,EC25 = specific electrical conductivity normalized to 25oC (in Lab),
Chester Creek,4/16/02,13:00,low flow,S,30,2.6,13.00,99.18,178,,,5.5,>124,5.1,,,,,,57,1207,472,133,605,,,,TDS = total dissolved solids ,
Chester Creek,4/29/02,,"0.65"" rain 4/27-4/29",S,12,,,,342,205,74,3.0,,2.0,64.0,207.0,7.62,62,10,20,521,132,9,141,1,3,,Turbidity (in Lab) ,
Chester Creek,5/9/02,,"1.03"" rain 5/7-5/9",R,54,,,,193,,,3.8,,3.5,,,,,,20,,,,,,,,"T-Tube = transparency tube.  A 130 cm tube was used for Chester, Kingsbury and ",
Chester Creek,5/13/02,11:50,"0.53"" rain previous 2 days",R,14,5.0,,,213,148,38,2.0,>124,1.0,60.0,149.0,7.58,37,10,10,525,67,10,77,4,3,,,Tischer and has been recommended for St. Louis River Watch stream 
Chester Creek,5/23/02,10:15,low flow,R,3,10.5,10.50,97.79,,,,0.6,,0.3,,,,,,12,458,41,13,54,,,,,monitoring programs.  Amity Creek values were from a 100 cm tube with
Chester Creek,5/30/02,10:10,low flow,B,2,16.0,,,,238,67,1.2,>124,1.0,64.0,239.0,6.56,80,10,20,587,32,26,58,9,3,,,a similar internal diameter and viewing protocol as used by MPCA.
Chester Creek,6/24/02,,"4.18"" rain 6/22-6/24",R,53,,,,,,,,,7.0,,,,,,,,,,,,,,TSS = Total suspended solids,
Chester Creek,7/8/02,11:00,"3.12"" rain 7/7-7/8",R,152,19.5,7.10,80.38,173,152,27,10.0,60.5,11.0,73.0,163.0,,39,20,90,1167,138,26,164,,3,,TVS = total volatile solids = organic matter determined by combustion,
Chester Creek,8/31/02,18:25,low flow,B,1,,,,,,,1.9,,,,,,,,45,682,64,12,76,,,,T- Solids = total solids determined gravimetrically after evaporation,
Chester Creek,9/1/02,14:08,"0.66"" rain 9/1-9/2",B,1,,,,,,,1.6,,,,,,,,23,744,156,17,173,,,,T- Solids calc = TSS+TDS,
Chester Creek,9/1/02,19:05,,B,1,,,,,,,1.2,,,,,,,,23,710,136,17,153,,,,PO4-P = orthophosphate  = dissolved inorganic-P,
Chester Creek,9/2/02,10:50,,R,1,,,,,,,6.8,,,,,,,,59,869,174,68,242,,,,TP = total-P,
Chester Creek,9/2/02,14:50,,R,2,,,,,,,1.4,,,,,,,,21,668,101,17,118,,,,TN-calc = estimated total-N = TKN + (NO2+NO3)-N  for MPCA monitored Amity 2002 data,
Chester Creek,9/5/02,8:35,"0.4"" rain 9/5",R,1,,,,,,,2.4,,,,,,,,26,782,176,29,205,,,,TN = total-N = directly measured values by NRRI for other streams and for Amity in 2003,
Chester Creek,10/4/02,9:20,"1.21"" rain 10/4",R,31,,,,272,169,37,14.2,,12.0,110.0,181.0,,,20,50,891,187,11,198,1900,3,,NH4-N = ammonium-N,
Chester Creek,10/4/02,12:15,,R,45,,,,259,,,13.3,,,,,,,,97,906,177,11,188,,,,(NO2+NO3)-N = nitatre-N + nitrite-N (combined analysis),
Chester Creek,11/20/02,15:40,,B,16,,,,,,185,,,,,,,,,,,,,,,,,DIN = dissolved inorganic-N = (NO2+NO3)-N  + (NH4)-N  (nitrate + nitrite + ammonium nitrogen,
Chester Creek,11/21/02,10:40,,B,16,0.6,13.30,96.13,,,144,,,,,,,,,,,,,,,,,fecals = fecal coliform bacteria; cfu/100 mL = colony forming units per 100 mL,
Chester Creek,3/15/03,14:30,snow melt hi temp=400 F,S,,,,,4213,2193,1210,33.8,20.2,11.2,185.0,2204.2,7.54,94,,230,4224,838,1039,1877,5,30,"holding time exceeded for fecals, LOD = Limit Of Detection",BOD5 = 5 day biochemical oxygen demand,
Chester Creek,3/16/03,14:15,snow melt hi temp=600 F,S,,,,,2931,1532,825,78.9,10,44.0,134.0,1576.0,7.09,44,,530,4756,630,1206,1836,150,76,holding time exceeded for fecals,,
